category_1,category_2,category_3,OFFENSE_DESCRIPTION
Property,Theft,Other Theft,LARCENY SHOPLIFTING $50 TO $199
Property,Theft,Other Theft,LARCENY SHOPLIFTING UNDER $50
Property,Theft,Other Theft,LARCENY THEFT FROM BUILDING
Property,Theft,Other Theft,LARCENY THEFT FROM COIN-OP MACHINE
Property,Theft,Other Theft,LARCENY THEFT FROM MV - NON-ACCESSORY
Property,Theft,Other Theft,LARCENY THEFT OF BICYCLE
Property,Arson,Arson,ARSON
Property,Other Property Crime,Other Property Crime,TRESPASSING
Property,Other Property Crime,Other Property Crime,VANDALISM
Property,Other Property Crime,Other Property Crime,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING
Property,Other Property Crime,Other Property Crime,PROPERTY - ACCIDENTAL DAMAGE
Property,Other Property Crime,Other Property Crime,PROPERTY - CONCEALING LEASED
Property,Other Property Crime,Other Property Crime,PROPERTY - FOUND
Property,Other Property Crime,Other Property Crime,PROPERTY - LOST
Property,Other Property Crime,Other Property Crime,PROPERTY - LOST THEN LOCATED
Property,Other Property Crime,Other Property Crime,PROPERTY - LOST/ MISSING
Property,Other Property Crime,Other Property Crime,PROPERTY - MISSING
Property,Other Property Crime,Other Property Crime,PROPERTY - RECEIVING STOLEN
Property,Other Property Crime,Other Property Crime,PROPERTY - STOLEN THEN RECOVERED
Drug,Drug,Drug,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS
Drug,Drug,Drug,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS
Drug,Drug,Drug,DRUGS - CLASS D TRAFFICKING OVER 50 GRAMS
Drug,Drug,Drug,DRUGS - CONSP TO VIOL CONTROLLED SUBSTANCE
Drug,Drug,Drug,DRUGS - GLUE INHALATION
Drug,Drug,Drug,DRUGS - OTHER
Drug,Drug,Drug,"DRUGS - POSS CLASS A - HEROIN, ETC."
Drug,Drug,Drug,"DRUGS - POSS CLASS A - HEROIN, ETC."
Drug,Drug,Drug,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP
Drug,Drug,Drug,"DRUGS - POSS CLASS B - COCAINE, ETC."
Drug,Drug,Drug,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP
Drug,Drug,Drug,DRUGS - POSS CLASS C
Drug,Drug,Drug,DRUGS - POSS CLASS C - INTENT TO MFR DIST DISP
Drug,Drug,Drug,DRUGS - POSS CLASS D
Drug,Drug,Drug,DRUGS - POSS CLASS D - INTENT MFR DIST DISP
Drug,Drug,Drug,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP
Drug,Drug,Drug,"DRUGS - POSS CLASS D - MARIJUANA, ETC."
Drug,Drug,Drug,DRUGS - POSS CLASS E
Drug,Drug,Drug,DRUGS - POSS CLASS E - INTENT TO MFR DIST DISP
Drug,Drug,Drug,DRUGS - POSS CLASS E INTENT TO MF DIST DISP
Drug,Drug,Drug,DRUGS - POSSESSION
Drug,Drug,Drug,DRUGS - POSSESSION OF DRUG PARAPHANALIA
Drug,Drug,Drug,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE
Drug,Drug,Drug,DRUGS - SALE / MANUFACTURING
Drug,Drug,Drug,DRUGS - SICK ASSIST - HEROIN
Drug,Drug,Drug,DRUGS - SICK ASSIST - OTHER HARMFUL DRUG
Drug,Drug,Drug,DRUGS - SICK ASSIST - OTHER NARCOTIC
Property,White Collar,Counterfeiting,COUNTERFEITING
Property,White Collar,Counterfeiting,FORGERY / COUNTERFEITING
Property,White Collar,Counterfeiting,FORGERY OR UTTERING
Property,White Collar,Fraud,FRAUD - CREDIT CARD / ATM FRAUD
Property,White Collar,Fraud,FRAUD - FALSE PRETENSE
Property,White Collar,Fraud,FRAUD - FALSE PRETENSE / SCHEME
Property,White Collar,Fraud,FRAUD - IMPERSONATION
Property,White Collar,Fraud,FRAUD - WELFARE
Property,White Collar,Fraud,FRAUD - WIRE
Property,White Collar,Fraud,FRAUDS - ALL OTHER
Property,White Collar,Embezzlement,EMBEZZLEMENT
Gambling,Gambling,Gambling,GAMBLING - BETTING / WAGERING
