category_1,category_2,category_3,ofns_desc,law_cat_cd,pd_desc
Property,Theft,Other Theft,PETIT LARCENY,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UN"
Property,Theft,Other Theft,PETIT LARCENY,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE"
Property,Theft,Other Theft,PETIT LARCENY,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE"
Property,Theft,Other Theft,PETIT LARCENY,MISDEMEANOR,"LARCENY,PETIT FROM COIN MACHIN"
Property,Theft,Other Theft,PETIT LARCENY,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,"
Property,Theft,Other Theft,PETIT LARCENY,MISDEMEANOR,"LARCENY,PETIT FROM PIER"
Property,Theft,Other Theft,PETIT LARCENY,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL"
Property,Theft,Other Theft,PETIT LARCENY,MISDEMEANOR,"LARCENY,PETIT OF BICYCLE"
Property,Theft,Other Theft,PETIT LARCENY,MISDEMEANOR,"LARCENY,PETIT OF BOAT"
Property,Theft,Other Theft,PETIT LARCENY,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE"
Property,Theft,Other Theft,PETIT LARCENY,MISDEMEANOR,"LARCENY,PETIT OF VEHICLE ACCES"
Property,Theft,Other Theft,PETIT LARCENY,MISDEMEANOR,PETIT LARCENY OF ANIMAL
Property,Theft,Other Theft,PETIT LARCENY,MISDEMEANOR,PETIT LARCENY-CHECK FROM MAILB
Property,Theft,Other Theft,PETIT LARCENY OF MOTOR VEHICLE,MISDEMEANOR,"LARCENY, PETIT OF AUTO - ATTEM"
Property,Theft,Other Theft,PETIT LARCENY OF MOTOR VEHICLE,MISDEMEANOR,"LARCENY, PETIT OF MOPED"
Property,Theft,Other Theft,PETIT LARCENY OF MOTOR VEHICLE,MISDEMEANOR,"LARCENY,PETIT OF AUTO"
Property,Theft,Other Theft,PETIT LARCENY OF MOTOR VEHICLE,MISDEMEANOR,"LARCENY,PETIT OF MOTORCYCLE"
Property,Theft,Other Theft,PETIT LARCENY OF MOTOR VEHICLE,MISDEMEANOR,"LARCENY,PETIT OF TRUCK"
Property,Theft,Unclassified,OTHER OFFENSES RELATED TO THEF,MISDEMEANOR,"THEFT OF SERVICES, UNCLASSIFIE"
Property,Theft,Unclassified,OTHER OFFENSES RELATED TO THEF,MISDEMEANOR,"THEFT,RELATED OFFENSES,UNCLASS"
